importance_level,latency_sensitivity,energy_required_kwh,deadline_hours,cost_sensitivity,data_size_gb,num_vcpus,memory_gb,carbon_budget_strict,current_carbon_intensity,current_latency_ms,current_spot_cost,current_renewable_share,jt_batch_ml_training,jt_ci_cd_build,jt_data_archival,jt_etl_pipeline,jt_fraud_detection,jt_real_time_inference,jt_scientific_compute,jt_video_transcoding,jt_web_serving,cur_region_enc,urgency,green_pressure,carbon_load,cost_pressure,lat_x_imp,deadline_urg,energy_per_vcpu,renew_x_green,perf_vs_green,imp_sq,cost_x_imp,dl_lat,label,recommended_region
10,0.3591,26.66,3,0.8142,24.73,32,64,0,471.8,73.1,0.0361,0.159,0,0,0,0,0,1,0,0,0,6.0,7.213470001026119,0.0,12.578188,26.0544,3.5909999999999997,0.97,0.8331249739648446,0.159,1.6159499999999998,100,8.142,1.0773,5,us-east-1
3,0.341,371.86,83,0.4014,40.83,16,128,0,438.1,25.2,0.0411,0.383,0,0,0,0,0,0,1,0,0,4.0,0.6770759115356006,0.2562777777777778,162.911866,6.4224,1.0230000000000001,0.17000000000000004,23.241248547421964,0.383,-0.8525,9,1.2042,28.303,6,us-west-2
1,0.2683,97.77,206,0.897,72.92,4,32,0,440.1,58.7,0.036,0.163,0,0,1,0,0,0,0,0,0,6.0,0.1875215722496593,0.36585,43.028577,3.588,0.2683,0.0,24.442493889376525,0.163,-1.20735,1,0.897,55.2698,3,eu-north-1
7,0.1394,7.88,3,0.509,7.42,16,128,1,208.6,79.2,0.0602,0.487,0,0,0,0,0,1,0,0,0,3.0,5.049429000718283,0.2868666666666667,1.6437680000000001,8.144,0.9758,0.97,0.4924999692187519,0.974,0.2091,49,3.563,0.4182,5,us-east-1
1,0.4451,39.51,163,0.3354,92.62,32,128,1,44.2,66.4,0.0567,1.0,0,0,1,0,0,0,0,0,0,0.0,0.1960835284745115,0.5549,1.746342,10.7328,0.4451,0.0,1.2346874614160168,2.0,-2.00295,1,0.3354,72.5513,3,eu-north-1
1,0.4118,341.27,76,0.5377,12.29,16,128,1,361.1,35.5,0.0677,0.221,1,0,0,0,0,0,0,0,0,5.0,0.23021283705668866,0.5882000000000001,123.232597,8.6032,0.4118,0.24,21.329373666914144,0.442,-1.8531,1,0.5377,31.2968,3,eu-north-1
2,0.6726,90.93,13,0.5037,12.87,2,16,0,439.6,29.1,0.0627,0.222,0,0,0,1,0,0,0,0,0,5.0,0.757846076214456,0.14551111111111112,39.97282800000001,1.0074,1.3452,0.87,45.464977267511365,0.222,-2.3541,4,1.0074,8.7438,3,eu-north-1
5,0.418,47.71,15,0.1264,19.63,2,4,1,39.5,98.1,0.0587,0.94,0,0,0,0,0,0,0,1,0,0.0,1.8033681506836323,0.32333333333333336,1.8845450000000001,0.2528,2.09,0.85,23.85498807250596,1.88,-0.209,25,0.6320000000000001,6.27,3,eu-north-1
2,0.6171,174.22,16,0.8212,52.2,32,256,0,120.1,41.7,0.0537,0.64,0,0,0,1,0,0,0,0,0,1.0,0.7059119985735595,0.1701777777777778,20.923822,26.2784,1.2342,0.84,5.444374829863287,0.64,-2.15985,4,1.6424,9.8736,3,eu-north-1
1,0.1278,447.75,82,0.4982,120.86,2,8,0,206.7,71.7,0.0627,0.515,1,0,0,0,0,0,0,0,0,3.0,0.22630365348140138,0.4361,92.54992499999999,0.9964,0.1278,0.18000000000000005,223.87488806255595,0.515,-0.5751,1,0.4982,10.4796,3,eu-north-1
5,0.4312,217.96,60,0.5597,18.7,4,8,0,34.0,96.3,0.0481,1.0,0,0,0,0,0,0,1,0,0,0.0,1.2162861106708704,0.158,7.41064,2.2388,2.156,0.4,54.489986377503406,1.0,-0.2156,25,2.7984999999999998,25.872,2,eu-central-1
10,0.6103,3.04,2,0.2688,0.4,8,16,0,138.5,100.2,0.0603,0.683,0,0,0,0,1,0,0,0,0,2.0,9.102383980921418,0.0,0.42104,2.1504,6.103,0.98,0.37999995250000596,0.683,2.7463499999999996,100,2.6879999999999997,1.2206,1,ap-southeast-1
2,0.6296,558.17,39,0.5615,39.02,16,64,0,488.4,63.1,0.0295,0.187,1,0,0,0,0,0,0,0,0,6.0,0.5421699143894857,0.1646222222222222,272.61022799999995,8.984,1.2592,0.61,34.88562281964857,0.187,-2.2036000000000002,4,1.123,24.5544,3,eu-north-1
2,0.6119,102.48,23,0.4459,20.27,8,64,1,160.7,111.6,0.0724,0.676,1,0,0,0,0,0,0,0,0,2.0,0.6293157628690227,0.34497777777777777,16.468536,3.5672,1.2238,0.77,12.809998398750201,1.352,-2.14165,4,0.8918,14.0737,3,eu-north-1
2,0.8657,836.18,52,0.5016,37.85,64,512,0,242.6,62.5,0.0648,0.556,0,0,0,0,0,0,1,0,0,3.0,0.5037411706257838,0.059688888888888875,202.85726799999998,32.1024,1.7314,0.48,13.065312295854495,0.556,-3.02995,4,1.0032,45.016400000000004,3,eu-north-1
