job_id,job_type,importance_level,latency_sensitivity,energy_required_kwh,deadline_hours,cost_sensitivity,data_size_gb,num_vcpus,memory_gb,carbon_budget_strict,current_region,current_carbon_intensity,current_latency_ms,current_spot_cost,current_renewable_share,recommended_region
0,batch_ml_training,4,0.7878,526.47,49,0.4297,60.67,32,128,0,ap-southeast-1,389.7,32.5,0.0651,0.196,us-west-2
1,etl_pipeline,2,0.6879,90.27,19,0.3939,117.95,8,64,0,us-east-1,379.4,17.3,0.0403,0.344,eu-north-1
2,etl_pipeline,5,0.4876,104.32,17,0.3609,30.84,32,256,0,us-west-2,122.8,46.1,0.043,0.715,sa-east-1
3,etl_pipeline,4,0.1228,110.09,17,0.5555,64.03,4,16,0,eu-north-1,33.7,73.5,0.0556,0.892,sa-east-1
4,real_time_inference,9,0.485,20.94,3,0.2127,28.52,64,128,0,eu-central-1,212.3,60.5,0.0533,0.553,us-east-1
5,fraud_detection,9,0.5625,14.5,1,0.4364,11.9,8,64,0,eu-north-1,37.5,87.8,0.0589,0.87,ap-southeast-1
6,batch_ml_training,3,0.4734,304.69,73,0.2205,42.99,32,64,0,ap-southeast-1,503.8,33.0,0.0606,0.209,us-west-2
7,etl_pipeline,2,0.2465,111.99,24,0.8481,6.14,16,64,0,eu-north-1,46.4,66.7,0.0461,0.941,sa-east-1
8,video_transcoding,5,0.5569,113.12,6,0.1905,6.5,16,64,0,us-east-1,353.6,21.2,0.0464,0.354,sa-east-1
9,video_transcoding,2,0.0939,51.68,7,0.1812,10.74,8,32,1,us-west-2,101.2,59.0,0.0427,0.668,eu-north-1
10,web_serving,9,0.4633,5.53,3,0.4819,42.18,4,8,1,eu-north-1,34.7,84.3,0.0542,0.968,us-east-1
11,etl_pipeline,3,0.2448,166.7,3,0.3535,1.23,32,128,0,sa-east-1,137.6,75.1,0.0725,0.655,us-east-1
12,batch_ml_training,3,0.1421,565.17,74,0.649,16.62,32,256,0,us-west-2,105.8,45.2,0.0545,0.727,us-west-2
13,video_transcoding,4,0.0658,104.44,7,0.1222,17.7,4,32,1,us-west-2,96.6,36.9,0.0417,0.637,eu-north-1
14,fraud_detection,8,0.5418,2.69,1,0.3044,146.19,16,32,0,us-west-2,92.3,43.8,0.0424,0.709,us-east-1
15,etl_pipeline,7,0.0981,38.83,11,0.2449,23.65,64,512,0,eu-north-1,39.8,78.5,0.0488,0.958,sa-east-1
16,scientific_compute,1,0.5674,508.41,53,0.3917,52.47,8,64,0,eu-north-1,45.7,91.3,0.0533,0.989,eu-north-1
17,scientific_compute,4,0.2366,366.12,55,0.3886,25.19,32,256,0,ap-southeast-1,480.5,36.8,0.0541,0.235,us-west-2
18,fraud_detection,9,0.2381,3.24,2,0.3501,58.66,16,32,1,ap-southeast-1,366.9,34.3,0.0641,0.212,us-east-1
19,fraud_detection,10,0.6214,6.34,2,0.2017,22.75,64,128,0,us-west-2,122.8,46.7,0.0564,0.688,ap-southeast-1
20,ci_cd_build,7,0.9389,57.46,5,0.1353,24.57,2,16,0,eu-north-1,46.8,97.5,0.0613,0.857,ap-southeast-1
21,scientific_compute,5,0.2216,362.93,161,0.49,62.46,64,128,0,eu-north-1,32.9,62.5,0.058,0.951,ap-south-1
22,fraud_detection,8,0.5254,2.74,2,0.7282,23.88,16,128,0,us-west-2,96.7,53.6,0.0451,0.661,us-east-1
23,batch_ml_training,3,0.4275,398.0,95,0.0645,16.93,16,64,0,us-east-1,394.3,16.7,0.038,0.406,us-west-2
24,web_serving,8,0.6289,16.93,3,0.6788,73.2,16,64,0,us-east-1,371.1,19.9,0.0418,0.351,us-east-1
25,data_archival,4,0.8274,47.66,57,0.2414,13.75,8,32,0,sa-east-1,153.1,95.2,0.0708,0.699,us-west-2
26,real_time_inference,10,0.4223,17.05,2,0.3189,15.98,16,64,1,ap-south-1,562.1,41.7,0.0385,0.188,us-east-1
27,web_serving,9,0.2174,15.82,1,0.3678,15.51,64,256,1,sa-east-1,163.1,76.3,0.0698,0.621,us-east-1
28,fraud_detection,10,0.4465,12.91,2,0.5801,12.81,4,8,0,ap-south-1,463.3,50.9,0.0355,0.176,us-east-1
29,ci_cd_build,3,0.302,20.67,1,0.5019,55.83,64,512,0,eu-central-1,251.6,68.4,0.0574,0.584,us-east-1
30,real_time_inference,8,0.3463,16.47,2,0.2444,21.29,16,128,0,ap-southeast-1,450.4,22.6,0.0628,0.206,us-east-1
31,scientific_compute,4,0.5734,615.27,197,0.2481,111.89,32,128,0,us-east-1,451.6,26.8,0.0437,0.356,us-west-2
32,fraud_detection,9,0.2589,3.61,1,0.3242,81.53,4,16,0,ap-southeast-1,487.0,23.2,0.0502,0.21,us-east-1
33,web_serving,10,0.728,18.4,3,0.2217,29.35,64,256,0,eu-north-1,46.4,92.2,0.0588,0.881,ap-southeast-1
34,web_serving,7,0.1182,21.63,3,0.0981,57.37,4,16,0,eu-central-1,191.8,71.2,0.0595,0.594,us-east-1
35,fraud_detection,9,0.4821,7.1,1,0.6314,78.93,64,256,0,ap-southeast-1,441.0,27.6,0.0538,0.233,us-east-1
36,web_serving,6,0.0324,22.91,1,0.0823,44.17,16,32,0,eu-central-1,217.0,67.3,0.059,0.593,us-east-1
37,data_archival,4,0.1854,91.23,115,0.2955,66.57,32,256,1,us-west-2,92.9,46.0,0.0458,0.708,eu-north-1
38,batch_ml_training,1,0.7406,138.03,66,0.3053,15.47,8,16,0,eu-north-1,37.9,80.7,0.0586,0.984,eu-north-1
39,batch_ml_training,2,0.0793,247.7,62,0.7101,30.45,4,16,1,eu-central-1,181.2,56.1,0.0488,0.487,eu-north-1
40,batch_ml_training,4,0.2314,205.65,19,0.7249,28.48,16,32,0,us-east-1,453.8,19.3,0.0382,0.396,ap-south-1
41,fraud_detection,10,0.4436,9.81,1,0.0683,98.64,4,8,0,eu-central-1,230.0,53.7,0.0593,0.5,us-east-1
42,ci_cd_build,4,0.2165,34.38,2,0.3456,17.46,64,128,1,eu-north-1,37.3,91.9,0.0445,0.995,eu-north-1
43,etl_pipeline,5,0.6304,69.32,21,0.278,24.26,64,128,0,eu-north-1,44.9,85.0,0.0458,0.914,sa-east-1
44,ci_cd_build,6,0.5592,43.49,4,0.4234,29.3,8,32,0,ap-south-1,569.9,60.1,0.039,0.162,sa-east-1
45,ci_cd_build,8,0.6984,13.19,8,0.3723,43.35,8,32,0,ap-south-1,534.8,72.1,0.0311,0.175,us-east-1
46,web_serving,7,0.6591,5.02,2,0.4598,28.37,8,32,0,sa-east-1,133.9,93.5,0.0661,0.729,ap-southeast-1
47,ci_cd_build,8,0.3948,21.13,2,0.7457,40.13,64,128,0,eu-central-1,251.1,72.8,0.0498,0.544,us-east-1
48,batch_ml_training,3,0.2479,523.01,25,0.456,1.87,8,16,0,us-west-2,101.3,56.6,0.0474,0.659,us-west-2
49,batch_ml_training,1,0.7601,449.33,32,0.659,33.01,2,16,0,eu-central-1,224.7,69.7,0.0491,0.532,eu-north-1
50,web_serving,6,0.5941,13.09,3,0.2247,65.23,64,256,0,eu-north-1,40.9,69.0,0.0582,1.0,us-east-1
51,video_transcoding,3,0.6326,79.75,10,0.2492,95.91,4,32,0,ap-southeast-1,353.0,40.4,0.0505,0.206,sa-east-1
52,web_serving,9,0.326,5.5,1,0.1842,46.64,16,128,0,eu-central-1,237.1,81.7,0.0549,0.488,us-east-1
53,etl_pipeline,6,0.2655,198.61,19,0.6854,60.21,16,64,0,ap-south-1,543.6,52.5,0.0338,0.173,sa-east-1
54,etl_pipeline,6,0.3104,143.47,5,0.8693,14.88,4,8,0,eu-north-1,37.1,92.4,0.0477,1.0,ap-south-1
55,fraud_detection,9,0.0722,14.39,2,0.6634,5.83,32,256,0,eu-central-1,258.6,82.1,0.0566,0.519,us-east-1
56,ci_cd_build,5,0.2122,25.37,7,0.4757,130.7,16,64,1,eu-central-1,204.6,58.8,0.0542,0.548,eu-north-1
57,etl_pipeline,5,0.4956,176.3,20,0.6512,18.37,8,64,1,us-west-2,107.9,50.5,0.0563,0.768,eu-north-1
58,data_archival,4,0.5096,81.17,82,0.0858,28.36,4,32,0,eu-north-1,48.0,84.8,0.0567,0.854,us-west-2
59,real_time_inference,8,0.4567,15.45,1,0.6372,63.29,4,32,0,ap-south-1,591.3,46.0,0.03,0.19,us-east-1
60,etl_pipeline,3,0.6351,41.48,14,0.1411,17.76,2,16,0,us-west-2,124.4,36.3,0.0525,0.69,sa-east-1
61,data_archival,2,0.8529,55.38,238,0.1673,11.86,2,4,0,us-west-2,131.6,37.5,0.0479,0.728,eu-north-1
62,fraud_detection,8,0.1051,14.68,2,0.4732,131.21,8,64,1,sa-east-1,167.8,93.8,0.0613,0.634,us-east-1
63,etl_pipeline,2,0.395,125.41,21,0.421,29.81,16,128,0,ap-southeast-1,498.1,31.0,0.0672,0.215,eu-north-1
64,scientific_compute,2,0.1026,589.33,62,0.0783,0.68,4,8,0,eu-north-1,38.2,72.7,0.0477,0.952,eu-north-1
65,video_transcoding,2,0.6081,65.96,19,0.411,60.87,8,16,0,ap-south-1,602.0,60.3,0.0308,0.187,eu-north-1
66,video_transcoding,3,0.0509,168.35,11,0.2714,81.63,2,8,0,ap-south-1,501.8,62.1,0.0394,0.192,sa-east-1
67,ci_cd_build,7,0.6176,31.45,4,0.2245,7.75,16,128,0,sa-east-1,165.4,108.3,0.0696,0.633,sa-east-1
68,fraud_detection,8,0.7161,10.7,2,0.3053,43.28,2,4,0,ap-south-1,514.4,56.6,0.0377,0.159,ap-southeast-1
69,fraud_detection,10,0.6375,6.85,2,0.0127,0.22,64,128,0,sa-east-1,154.0,73.0,0.0626,0.709,ap-southeast-1
70,etl_pipeline,5,0.677,133.23,24,0.4461,105.12,2,4,0,eu-central-1,238.1,55.1,0.0536,0.558,sa-east-1
71,video_transcoding,2,0.5021,160.05,2,0.0227,45.3,8,64,1,us-east-1,437.4,22.6,0.0397,0.367,eu-north-1
72,web_serving,6,0.8276,24.85,2,0.2532,42.81,2,16,1,eu-north-1,46.7,87.2,0.0518,0.911,ap-southeast-1
73,fraud_detection,8,0.5621,6.04,2,0.5234,26.98,64,512,0,eu-north-1,46.5,106.6,0.0525,0.97,ap-southeast-1
74,scientific_compute,5,0.6401,421.2,92,0.0772,47.41,64,128,0,eu-central-1,223.5,85.3,0.051,0.591,eu-central-1
75,data_archival,2,0.2899,15.7,86,0.4187,37.85,16,128,0,eu-north-1,36.2,81.0,0.0507,1.0,eu-north-1
76,etl_pipeline,2,0.777,61.08,14,0.4167,11.02,32,64,0,ap-southeast-1,435.6,30.4,0.0586,0.237,eu-north-1
77,scientific_compute,5,0.1933,200.12,98,0.772,14.33,32,256,0,eu-central-1,216.2,73.6,0.0582,0.578,ap-south-1
78,etl_pipeline,4,0.242,144.22,17,0.6278,46.24,8,16,1,sa-east-1,176.6,115.8,0.055,0.635,eu-north-1
79,batch_ml_training,5,0.4904,182.79,25,0.3734,41.79,8,16,0,ap-south-1,524.8,64.5,0.0343,0.161,sa-east-1
80,etl_pipeline,5,0.2948,168.56,19,0.3432,26.19,4,8,0,ap-southeast-1,424.3,28.0,0.0538,0.21,sa-east-1
81,scientific_compute,1,0.6039,523.45,188,0.368,78.34,32,64,0,ap-southeast-1,419.2,32.7,0.0653,0.218,eu-north-1
82,fraud_detection,10,0.5433,12.31,1,0.3653,5.74,16,32,1,eu-north-1,33.7,105.6,0.0585,0.913,us-east-1
83,batch_ml_training,4,0.6277,171.24,28,0.3161,20.87,16,32,0,us-east-1,348.1,24.3,0.039,0.393,us-west-2
84,ci_cd_build,8,0.545,8.22,3,0.4393,40.08,2,8,1,ap-southeast-1,419.6,31.1,0.0616,0.232,us-east-1
85,ci_cd_build,3,0.2851,29.42,10,0.1938,14.88,8,32,0,us-east-1,442.7,24.6,0.0376,0.355,sa-east-1
86,real_time_inference,8,0.8187,28.48,1,0.1896,77.37,8,64,0,us-west-2,99.7,35.1,0.0456,0.759,ap-southeast-1
87,batch_ml_training,3,0.7908,146.71,76,0.6466,73.39,8,16,1,us-east-1,384.6,22.0,0.0444,0.364,eu-north-1
88,fraud_detection,10,0.6543,11.57,1,0.045,18.21,8,32,0,ap-south-1,436.4,54.9,0.0321,0.19,ap-southeast-1
89,scientific_compute,4,0.4918,884.98,91,0.6723,35.03,64,512,0,ap-southeast-1,361.6,28.8,0.0499,0.232,us-west-2
90,video_transcoding,4,0.2024,53.23,19,0.1747,36.55,8,64,0,sa-east-1,176.4,96.2,0.0619,0.663,sa-east-1
91,batch_ml_training,2,0.246,541.79,29,0.2112,53.46,4,8,1,us-east-1,321.9,26.9,0.0357,0.34,eu-north-1
92,scientific_compute,4,0.4423,730.81,126,0.0497,20.04,8,64,0,ap-southeast-1,392.9,37.7,0.0624,0.208,us-west-2
93,data_archival,4,0.4692,78.85,67,0.1229,99.82,8,32,0,ap-southeast-1,465.9,34.6,0.0507,0.224,us-west-2
94,ci_cd_build,3,0.2458,12.51,5,0.2748,99.66,2,8,0,eu-central-1,224.6,72.2,0.0481,0.565,sa-east-1
95,web_serving,9,0.3899,23.2,2,0.7428,39.5,8,64,0,eu-central-1,193.3,85.5,0.0581,0.502,us-west-2
96,data_archival,2,0.3773,67.74,125,0.7629,39.5,8,32,0,us-west-2,131.7,60.5,0.0509,0.709,eu-north-1
97,etl_pipeline,7,0.4399,188.6,10,0.2942,45.41,4,8,0,ap-southeast-1,419.3,36.0,0.0556,0.208,sa-east-1
98,data_archival,1,0.1892,26.98,182,0.3712,15.43,64,512,1,eu-central-1,182.2,81.9,0.0578,0.501,eu-north-1
99,batch_ml_training,3,0.5725,310.28,44,0.449,4.4,2,4,0,us-west-2,110.9,41.9,0.0465,0.702,us-west-2
100,ci_cd_build,4,0.7375,10.39,2,0.3767,71.03,8,64,0,ap-southeast-1,359.6,26.5,0.0572,0.214,us-east-1
101,scientific_compute,1,0.6229,768.31,124,0.1142,46.29,64,128,0,eu-north-1,45.7,89.5,0.0514,0.953,eu-north-1
102,fraud_detection,9,0.5895,4.0,2,0.4389,64.38,32,256,1,us-east-1,447.7,23.8,0.0453,0.351,ap-southeast-1
103,real_time_inference,8,0.2706,26.0,3,0.0834,10.18,4,8,0,us-east-1,352.8,19.0,0.0409,0.399,us-east-1
104,batch_ml_training,5,0.3546,312.12,80,0.417,38.01,64,256,0,sa-east-1,162.9,82.6,0.0653,0.603,eu-central-1
105,real_time_inference,8,0.3966,20.59,3,0.2665,15.83,2,8,0,sa-east-1,137.3,109.8,0.0532,0.727,us-east-1
106,scientific_compute,4,0.5731,722.88,183,0.2057,31.0,4,8,1,ap-south-1,581.5,51.9,0.0399,0.176,eu-north-1
107,fraud_detection,9,0.6732,3.7,1,0.4667,33.46,2,16,0,sa-east-1,148.2,113.7,0.0636,0.651,ap-southeast-1
108,scientific_compute,5,0.265,289.86,149,0.4979,55.72,4,8,0,ap-south-1,583.4,60.1,0.039,0.166,eu-central-1
109,ci_cd_build,5,0.5606,10.03,6,0.3377,32.77,8,32,1,eu-central-1,225.0,55.7,0.047,0.551,eu-north-1
110,web_serving,10,0.2028,8.09,1,0.235,62.55,2,8,1,eu-north-1,35.9,96.3,0.0601,1.0,sa-east-1
111,batch_ml_training,4,0.4181,243.58,57,0.3932,5.79,8,16,0,eu-central-1,188.2,74.3,0.0607,0.488,us-west-2
112,ci_cd_build,7,0.2373,52.56,7,0.4524,30.63,4,8,0,ap-southeast-1,406.2,31.5,0.0542,0.212,sa-east-1
113,web_serving,5,0.2138,10.09,1,0.6896,13.24,64,256,1,eu-central-1,229.2,59.0,0.0488,0.586,eu-north-1
114,web_serving,7,0.3055,3.35,3,0.4901,37.42,4,8,0,eu-central-1,240.4,66.0,0.0486,0.501,us-east-1
115,ci_cd_build,7,0.3654,53.37,5,0.3983,23.1,16,128,0,ap-south-1,431.2,42.5,0.0327,0.182,sa-east-1
116,data_archival,2,0.1349,95.49,71,0.5921,13.96,16,32,0,us-east-1,349.4,22.5,0.0386,0.364,eu-north-1
117,ci_cd_build,8,0.5812,27.7,8,0.5179,69.14,32,128,1,eu-central-1,191.0,78.1,0.0599,0.54,us-east-1
118,video_transcoding,4,0.6413,199.23,13,0.1559,48.37,2,4,0,ap-south-1,457.8,44.3,0.0375,0.19,sa-east-1
119,batch_ml_training,2,0.185,585.48,36,0.3312,76.96,64,512,0,us-west-2,110.5,45.5,0.0491,0.68,eu-north-1
120,data_archival,2,0.0489,90.83,199,0.3558,49.55,16,128,1,eu-central-1,214.1,51.9,0.0646,0.513,eu-north-1
121,etl_pipeline,2,0.0934,127.52,7,0.3521,123.65,16,64,1,us-west-2,93.1,53.4,0.0523,0.675,eu-north-1
122,batch_ml_training,5,0.4145,514.48,85,0.2001,82.22,8,16,0,eu-north-1,40.1,102.5,0.056,0.962,eu-central-1
123,ci_cd_build,7,0.2327,27.06,5,0.2809,89.74,16,32,0,us-west-2,100.1,37.8,0.0415,0.635,sa-east-1
124,etl_pipeline,3,0.3979,37.63,24,0.0156,20.59,8,16,1,ap-southeast-1,450.1,36.8,0.0664,0.227,eu-north-1
125,web_serving,6,0.2862,14.79,1,0.1158,90.16,8,16,0,ap-southeast-1,504.8,24.7,0.0639,0.202,us-east-1
126,video_transcoding,2,0.5106,228.68,19,0.5976,56.73,4,32,0,eu-north-1,39.4,96.3,0.047,1.0,eu-north-1
127,batch_ml_training,4,0.2391,330.32,57,0.3275,1.3,32,128,0,us-west-2,94.4,41.1,0.0546,0.71,us-west-2
128,scientific_compute,2,0.0742,594.21,40,0.1425,50.17,8,32,0,us-east-1,332.3,17.3,0.0465,0.363,eu-north-1
129,web_serving,10,0.5812,4.43,1,0.1356,22.55,64,512,0,eu-central-1,198.1,80.7,0.0474,0.539,us-east-1
130,data_archival,4,0.2641,84.62,288,0.1631,49.38,4,8,1,us-east-1,332.7,17.7,0.0368,0.376,eu-north-1
131,web_serving,7,0.5056,10.47,2,0.4634,36.89,16,128,1,us-west-2,114.7,54.8,0.041,0.688,eu-north-1
132,video_transcoding,3,0.6101,153.62,11,0.3952,73.81,4,16,0,eu-central-1,204.2,75.8,0.0515,0.487,sa-east-1
133,etl_pipeline,7,0.527,135.0,3,0.1303,61.8,8,16,0,eu-central-1,249.5,70.0,0.0594,0.552,us-east-1
134,video_transcoding,6,0.1896,280.81,4,0.2071,76.23,2,8,0,ap-south-1,544.7,45.4,0.0391,0.169,eu-central-1
135,scientific_compute,2,0.5659,856.88,96,0.3913,44.87,32,128,0,eu-north-1,45.3,83.7,0.0489,0.983,eu-north-1
136,real_time_inference,8,0.6508,26.24,1,0.7949,46.46,8,32,0,eu-central-1,187.3,68.1,0.0582,0.582,ap-southeast-1
137,ci_cd_build,4,0.7751,32.15,5,0.2693,31.47,8,64,0,eu-central-1,251.2,87.5,0.0615,0.53,sa-east-1
138,web_serving,5,0.3378,23.32,2,0.5817,9.69,16,128,0,ap-southeast-1,446.5,30.9,0.0579,0.221,us-east-1
139,etl_pipeline,4,0.5627,128.94,13,0.0973,4.81,16,32,0,sa-east-1,172.0,81.3,0.0721,0.668,sa-east-1
140,web_serving,5,0.6537,24.7,3,0.2394,12.19,2,8,0,sa-east-1,141.6,102.2,0.0578,0.731,us-east-1
141,etl_pipeline,6,0.3644,176.3,6,0.1244,1.4,8,16,0,us-west-2,95.9,44.4,0.0408,0.762,sa-east-1
142,ci_cd_build,4,0.3816,25.37,6,0.8913,79.78,4,32,0,sa-east-1,143.7,77.6,0.0534,0.666,ap-south-1
143,fraud_detection,8,0.2877,12.89,2,0.5145,8.2,16,32,0,us-west-2,129.7,45.8,0.0541,0.731,us-east-1
144,video_transcoding,3,0.4334,247.87,5,0.3036,71.65,32,64,0,ap-south-1,460.2,64.1,0.0349,0.183,eu-central-1
145,data_archival,2,0.3977,85.23,145,0.3113,18.12,8,64,0,ap-south-1,533.7,45.2,0.0326,0.167,eu-north-1
146,data_archival,4,0.5878,24.92,94,0.2528,22.3,2,16,0,ap-southeast-1,361.4,39.7,0.0634,0.237,us-west-2
147,batch_ml_training,2,0.0741,502.51,30,0.5831,10.04,16,64,1,eu-central-1,216.6,65.8,0.0506,0.511,eu-north-1
148,web_serving,10,0.4566,3.48,1,0.2704,6.32,64,256,0,us-east-1,371.4,21.3,0.0354,0.359,us-east-1
149,web_serving,10,0.2371,11.44,1,0.1014,12.69,2,8,0,sa-east-1,136.9,97.2,0.0639,0.643,eu-north-1
150,real_time_inference,7,0.2548,3.65,2,0.3627,69.19,64,256,0,sa-east-1,154.5,117.8,0.0731,0.619,us-east-1
151,real_time_inference,8,0.6399,20.52,1,0.156,21.48,64,512,0,eu-central-1,239.7,87.7,0.0497,0.485,us-west-2
152,real_time_inference,9,0.206,18.92,1,0.0481,52.03,32,128,0,us-east-1,346.9,15.1,0.0369,0.409,us-east-1
153,real_time_inference,10,0.3758,10.66,1,0.279,11.32,32,128,0,ap-southeast-1,354.5,27.0,0.0646,0.234,us-east-1
154,data_archival,4,0.3325,63.3,73,0.1259,29.73,4,32,0,ap-south-1,544.9,64.7,0.0387,0.184,us-west-2
155,real_time_inference,10,0.8067,5.69,1,0.4121,0.4,2,4,0,us-east-1,379.9,22.9,0.0469,0.35,ap-southeast-1
156,ci_cd_build,6,0.7568,38.89,9,0.6402,37.54,8,64,0,eu-north-1,47.2,64.4,0.0482,0.898,ap-southeast-1
157,web_serving,7,0.2302,12.91,3,0.6929,2.92,8,16,1,sa-east-1,174.1,100.9,0.0565,0.599,eu-north-1
